"match_id","date","team1","team2","venue","toss_winner","toss_decision","powerplay_runs","death_overs_runs","toss_win_helped","outcome_label","head_to_head_win_pct"
"884347","2016-03-04","South Africa","Australia","Kingsmead","Australia","bat","63","39",1,0,"50.00"
"1147733","2018-07-14","Netherlands","United Arab Emirates","VRA Ground","United Arab Emirates","field","38","44",1,0,"0.00"
"1179611","2019-04-02","Namibia","Botswana","United Cricket Club Ground","Botswana","bat","21","7",1,0,"50.00"
"1144172","2019-03-19","South Africa","Sri Lanka","Newlands","South Africa","field","47","32",0,0,"47.62"
"1213874","2020-03-04","Sri Lanka","West Indies","Pallekele International Cricket Stadium","West Indies","bat","59","46",0,1,"52.63"
"1176796","2019-03-24","Philippines","Vanuatu","Amini Park","Vanuatu","field","37",NULL,0,1,"100.00"
"1187665","2019-11-01","New Zealand","England","Hagley Oval","England","field","44","37",1,0,"54.55"
"754797","2014-09-03","Australia","Pakistan","Kerrydale Oval","Pakistan","bat","22","18",1,0,"62.50"
"1148061","2018-06-09","Sri Lanka","Thailand","Royal Selangor Club","Thailand","field","40","15",1,0,NULL
"966739","2016-02-21","Hong Kong","United Arab Emirates","Khan Shaheb Osman Ali Stadium","Hong Kong","bat","39","20",0,0,NULL
"430884","2009-12-09","India","Sri Lanka","Vidarbha Cricket Association Stadium, Jamtha","India","field","43","63",1,1,"100.00"
"954735","2016-02-07","Ireland","Papua New Guinea","Tony Ireland Stadium","Papua New Guinea","field","59",NULL,0,1,"0.00"
"1215165","2020-02-27","Kuwait","United Arab Emirates","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)","Kuwait","field","57","58",1,1,"100.00"
"287853","2007-09-11","South Africa","West Indies","New Wanderers Stadium","South Africa","field","60","28",0,0,NULL
"1187720","2020-02-10","New Zealand","South Africa","Basin Reserve","South Africa","field","43","35",0,1,"60.87"
"1148048","2018-06-03","India","Malaysia","Kinrara Academy Oval","India","bat","33","40",1,1,NULL
"930575","2015-11-21","Hong Kong","Oman","Sheikh Zayed Stadium","Oman","field","37","18",1,0,NULL
"682997","2014-03-30","England","Sri Lanka","Sylhet Stadium","Sri Lanka","bat","23","21",1,0,"20.00"
"1188380","2019-06-25","Netherlands","Zimbabwe","Hazelaarweg","Netherlands","bat","48","30",0,0,"50.00"
"1197523","2019-10-06","Hong Kong","Nepal","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)","Nepal","field","45","21",1,0,"25.00"
"1170458","2019-02-01","United Arab Emirates","Nepal","ICC Academy","United Arab Emirates","bat","33","16",0,0,"100.00"
"895789","2016-01-29","Australia","India","Melbourne Cricket Ground","India","field","40","12",0,1,"58.33"
"951377","2016-03-15","New Zealand","Sri Lanka","Feroz Shah Kotla","Sri Lanka","bat","37","17",1,0,"47.06"
"1214764","2020-02-05","Oman","Germany","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)","Oman","bat","30","28",0,0,"100.00"
"439499","2010-02-10","Canada","Kenya","Dubai International Cricket Stadium","Kenya","field","39","33",1,0,NULL
"1176797","2019-03-24","Papua New Guinea","Vanuatu","Amini Park","Vanuatu","bat","25",NULL,1,0,"0.00"
"963701","2016-02-14","India","Sri Lanka","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","India","field","30","8",0,0,"50.00"
"1183549","2020-02-12","Australia","India","Junction Oval","Australia","bat","42","46",1,1,"60.71"
"588499","2013-01-20","West Indies","South Africa","Beausejour Stadium, Gros Islet","West Indies","field","25","22",0,0,"66.67"
"412685","2010-05-03","West Indies","England","Providence Stadium","West Indies","field","66","60",1,1,"25.00"
"936157","2017-01-25","South Africa","Sri Lanka","Newlands","South Africa","bat","45","45",0,0,"50.00"
"1148063","2018-06-10","India","Bangladesh","Kinrara Academy Oval","Bangladesh","field","26","32",1,0,"72.73"
"1172917","2019-02-21","Thailand","Nepal","Asian Institute of Technology Ground","Thailand","bat","29","29",1,1,NULL
"439510","2010-02-13","Ireland","Netherlands","Dubai International Cricket Stadium","Ireland","bat","37","33",1,1,NULL
"1191008","2019-08-08","Netherlands","United Arab Emirates","Sportpark Westvliet","Netherlands","bat","53","40",0,0,"0.00"
"1153696","2019-02-06","New Zealand","India","Westpac Stadium","India","field","70","50",0,1,"10.00"
"1197061","2019-09-05","Papua New Guinea","Thailand","Forthill","Papua New Guinea","bat","19","19",0,0,NULL
"1158355","2018-08-23","Sierra Leone","Malawi","Botswana Cricket Association Oval 2","Sierra Leone","bat","37","29",1,1,NULL
"1157375","2018-10-31","Pakistan","New Zealand","Sheikh Zayed Stadium","Pakistan","bat","34","42",1,1,"30.43"
"386494","2009-02-25","New Zealand","India","AMI Stadium","New Zealand","field","39","45",0,0,"0.00"
"1197062","2019-09-05","Scotland","Namibia","Lochlands","Scotland","field","21","13",0,0,NULL
"682911","2014-03-19","Ireland","United Arab Emirates","Sylhet Stadium","Ireland","field","43","29",1,1,NULL
"951371","2016-03-31","India","West Indies","Wankhede Stadium","West Indies","field","60","59",1,0,"16.67"
"1202255","2019-11-17","West Indies","India","Providence Stadium, Guyana","West Indies","field","24",NULL,1,1,"42.11"
"1229823","2020-08-30","Belgium","Luxembourg","Pierre Werner Cricket Ground","Belgium","bat","31","52",1,1,"100.00"
"1198217","2019-08-28","Singapore","Malaysia","Indian Association Ground","Singapore","field","40","35",1,1,"0.00"
