match_id,match_type,date,team1,team2,venue,toss_winner,toss_decision
1001349,,2017-02-17,Australia,Sri Lanka,Melbourne Cricket Ground,Sri Lanka,field
1001351,,2017-02-19,Australia,Sri Lanka,"Simonds Stadium, South Geelong",Sri Lanka,field
1001353,,2017-02-22,Australia,Sri Lanka,Adelaide Oval,Sri Lanka,field
1004729,,2016-09-05,Ireland,Hong Kong,"Bready Cricket Club, Magheramason",Hong Kong,bat
1007655,,2016-06-18,Zimbabwe,India,Harare Sports Club,India,field
1007657,,2016-06-20,Zimbabwe,India,Harare Sports Club,Zimbabwe,bat
1007659,,2016-06-22,Zimbabwe,India,Harare Sports Club,Zimbabwe,field
1019979,,2017-01-03,New Zealand,Bangladesh,McLean Park,Bangladesh,bat
1019981,,2017-01-06,New Zealand,Bangladesh,Bay Oval,Bangladesh,field
1019983,,2017-01-08,New Zealand,Bangladesh,Bay Oval,Bangladesh,field
1020029,,2017-02-17,New Zealand,South Africa,Eden Park,New Zealand,field
1031431,,2017-06-21,England,South Africa,The Rose Bowl,South Africa,bat
1031433,,2017-06-23,England,South Africa,County Ground,England,field
1031435,,2017-06-25,England,South Africa,Sophia Gardens,South Africa,field
1031665,,2017-09-16,West Indies,England,Riverside Ground,England,field
1034825,,2017-01-26,India,England,Green Park,England,field
1034827,,2017-01-29,India,England,"Vidarbha Cricket Association Stadium, Jamtha",England,field
1034829,,2017-02-01,India,England,M Chinnaswamy Stadium,England,field
1041615,,2016-08-27,India,West Indies,Central Broward Regional Park Stadium Turf Ground,India,field
1041617,,2016-08-28,India,West Indies,Central Broward Regional Park Stadium Turf Ground,India,field
1043989,,2017-02-17,Australia,New Zealand,Melbourne Cricket Ground,New Zealand,field
1043991,,2017-02-19,Australia,New Zealand,"Simonds Stadium, South Geelong",Australia,field
1043993,,2017-02-22,Australia,New Zealand,Adelaide Oval,New Zealand,bat
1044211,,2016-09-27,Sri Lanka,Australia,Sinhalese Sports Club Ground,Australia,field
1050217,,2016-09-23,Pakistan,West Indies,Dubai International Cricket Stadium,Pakistan,field
1050219,,2016-09-24,Pakistan,West Indies,Dubai International Cricket Stadium,West Indies,field
1050221,,2016-09-27,Pakistan,West Indies,Sheikh Zayed Stadium,Pakistan,field
1050615,,2016-11-21,New Zealand,Pakistan,Saxton Oval,New Zealand,bat
1065348,,2016-12-04,India,Pakistan,Asian Institute of Technology Ground,India,bat
1072316,,2018-02-03,New Zealand,Australia,Sydney Cricket Ground,Australia,field
1072317,,2018-02-07,England,Australia,Bellerive Oval,Australia,field
1072318,,2018-02-10,England,Australia,Melbourne Cricket Ground,Australia,field
1072319,,2018-02-13,New Zealand,England,Westpac Stadium,England,field
1072320,,2018-02-16,New Zealand,Australia,Eden Park,New Zealand,bat
1072321,,2018-02-18,England,New Zealand,Seddon Park,New Zealand,field
1072322,,2018-02-21,New Zealand,Australia,Eden Park,New Zealand,bat
1074957,,2017-01-14,Hong Kong,Scotland,Sheikh Zayed Stadium,Scotland,bat
1074959,,2017-01-15,Netherlands,Oman,Sheikh Zayed Stadium,Oman,bat
1074961,,2017-01-16,Hong Kong,Oman,Sheikh Zayed Stadium,Oman,field
1074964,,2017-01-17,Netherlands,Scotland,Sheikh Zayed Stadium,Netherlands,field
1074965,,2017-01-18,United Arab Emirates,Ireland,Dubai International Cricket Stadium,Ireland,bat
1074966,,2017-01-18,Hong Kong,Netherlands,Dubai International Cricket Stadium,Hong Kong,bat
1074968,,2017-01-19,Oman,Scotland,Dubai International Cricket Stadium,Oman,bat
1074970,,2017-01-20,Ireland,Scotland,Dubai International Cricket Stadium,Scotland,field
1075507,,2017-10-26,South Africa,Bangladesh,Mangaung Oval,South Africa,bat
1075508,,2017-10-29,South Africa,Bangladesh,Senwes Park,Bangladesh,field
1077947,,2017-03-26,West Indies,Pakistan,"Kensington Oval, Bridgetown",Pakistan,field
1077948,,2017-03-30,West Indies,Pakistan,"Queen's Park Oval, Port of Spain",West Indies,field
1083449,,2017-04-04,Sri Lanka,Bangladesh,R Premadasa Stadium,Bangladesh,bat
1083450,,2017-04-06,Sri Lanka,Bangladesh,R Premadasa Stadium,Bangladesh,bat
1085495,,2017-04-01,West Indies,Pakistan,"Queen's Park Oval, Port of Spain",Pakistan,bat
1085496,,2017-04-02,West Indies,Pakistan,"Queen's Park Oval, Port of Spain",Pakistan,field
1086067,,2017-11-17,England,Australia,North Sydney Oval,Australia,field
1086068,,2017-11-19,England,Australia,Manuka Oval,England,bat
1086069,,2017-11-21,Australia,England,Manuka Oval,Australia,bat
1089202,,2017-04-12,United Arab Emirates,Papua New Guinea,Sheikh Zayed Stadium,United Arab Emirates,field
1089203,,2017-04-14,United Arab Emirates,Papua New Guinea,Sheikh Zayed Stadium,Papua New Guinea,field
1089243,,2017-04-14,United Arab Emirates,Papua New Guinea,Sheikh Zayed Stadium,Papua New Guinea,bat
1098211,,2017-07-09,West Indies,India,"Sabina Park, Kingston",West Indies,field
1109610,,2017-09-06,Sri Lanka,India,"R.Premadasa Stadium, Khettarama",India,field
1115798,,2017-12-29,New Zealand,West Indies,Saxton Oval,West Indies,field
1115799,,2018-01-01,New Zealand,West Indies,Bay Oval,West Indies,field
1115800,,2018-01-03,New Zealand,West Indies,Bay Oval,New Zealand,bat
1115807,,2018-01-22,Pakistan,New Zealand,Westpac Stadium,New Zealand,field
1115808,,2018-01-25,Pakistan,New Zealand,Eden Park,Pakistan,bat
1115809,,2018-01-28,Pakistan,New Zealand,Bay Oval,Pakistan,bat
1117821,,2017-09-12,Pakistan,ICC World XI,Gaddafi Stadium,ICC World XI,field
1117822,,2017-09-13,Pakistan,ICC World XI,Gaddafi Stadium,Pakistan,bat
1117824,,2017-09-15,Pakistan,ICC World XI,Gaddafi Stadium,ICC World XI,field
1119501,,2017-10-07,Australia,India,JSCA International Stadium Complex,India,field
1119502,,2017-10-10,India,Australia,Barsapara Cricket Stadium,Australia,field
1119542,,2018-06-27,England,Australia,Edgbaston,Australia,field
1119543,,2018-07-03,England,India,Old Trafford,India,field
1119544,,2018-07-06,India,England,Sophia Gardens,England,field
1119545,,2018-07-08,England,India,County Ground,India,field
1120093,,2017-11-01,India,New Zealand,Arun Jaitley Stadium,New Zealand,field
1120094,,2017-11-04,New Zealand,India,Saurashtra Cricket Association Stadium,New Zealand,bat
1120095,,2017-11-07,India,New Zealand,Greenfield International Stadium,New Zealand,field
1120291,,2017-10-26,Sri Lanka,Pakistan,Sheikh Zayed Stadium,Pakistan,field
1120292,,2017-10-27,Sri Lanka,Pakistan,Sheikh Zayed Stadium,Pakistan,field
1120293,,2017-10-29,Pakistan,Sri Lanka,Gaddafi Stadium,Sri Lanka,field
1122285,,2018-02-18,India,South Africa,The Wanderers Stadium,South Africa,field
1122286,,2018-02-21,India,South Africa,SuperSport Park,South Africa,field
1122287,,2018-02-24,India,South Africa,Newlands,South Africa,field
1122729,,2017-12-20,India,Sri Lanka,Barabati Stadium,Sri Lanka,field
1122730,,2017-12-22,India,Sri Lanka,Holkar Cricket Stadium,Sri Lanka,field
1122731,,2017-12-24,Sri Lanka,India,Wankhede Stadium,India,field
1122902,,2017-10-21,West Indies,Sri Lanka,Coolidge Cricket Ground,West Indies,bat
1122908,,2017-11-09,New Zealand,Pakistan,Sharjah Cricket Stadium,New Zealand,bat
1122909,,2017-11-12,New Zealand,Pakistan,Sharjah Cricket Stadium,New Zealand,bat
1122910,,2017-11-14,Pakistan,New Zealand,Sharjah Cricket Stadium,Pakistan,bat
1123206,,2018-02-13,South Africa,India,Senwes Park,India,field
1123207,,2018-02-16,South Africa,India,Buffalo Park,India,field
1123208,,2018-02-18,India,South Africa,The Wanderers Stadium,South Africa,field
1123209,,2018-02-21,South Africa,India,SuperSport Park,India,field
1123210,,2018-02-24,India,South Africa,Newlands,South Africa,field
